no,code,year ,type,x,y,distx,elv,aq,ec,ph,hard,tds,temp,eh,Q,Ca,Mg,Fe,Mn,K,Na,CO3,HCO3,CO2,Cl,SO4,NO2,NO3,SiO2,cumrain,lag1
27,127,1997,groundwater,784000.9133,10765562.3,8071.336708,750,tuffsand,564,6.35,12,314.07,24.2,43,0.75,40.5,9.9,0.06,0.23,6.1,20.7,2.3,193.8,45.3,46.5,6.8,0,0,9,38.5,32.4
28,128,1997,groundwater,783992.5282,10767111.47,8079.721808,765,tuffsand,362,6.78,8,312.57,25.2,18,2,17,13.3,0.06,0.22,7.9,18,17.9,61,87.8,57.3,2.6,0,0.08,50,38.5,32.4
29,129,1997,groundwater,783889.7365,10765672.36,8182.513492,670,tuffsand,142,6.1,7.8,193.77,23.2,59,2,0.7,1.6,1.2,0.23,0.8,4.4,0,5.6,7.9,12.1,1.3,0.01,6.3,46,38.5,32.4
30,130,1997,groundwater,783803.6019,10761134.92,8268.648072,760,tuffsand,349,7.08,12,238.7,23.8,-4,0.5,37,10.3,0.13,0.23,3.2,35,7.8,155.1,0,48.2,41.2,0,5,15,38.5,32.4
31,131,1997,groundwater,783455.7768,10764120.8,8616.473179,750,tuffsand,324,6.62,8.1,416.77,25.1,20,2,17,13.3,0.16,0.23,7.9,20,2.3,91.7,18.1,41.7,57.3,0.01,2.6,57,38.5,32.4
32,132,1997,groundwater,783353.5286,10762571.05,8718.721433,765,tuffsand,391,6.99,8,292.02,24,-1,0.2,39,13.1,0.66,0.22,2.7,21,1.7,178.8,36.3,40.7,17.6,0.01,4.3,18,38.5,32.4
33,133,1997,groundwater,782470.6334,10762234.34,9601.616629,768,tuffsand,364,6.89,7,208.95,24.6,13,0.5,41.2,14.1,0.13,0.22,2.4,18.2,1.5,180.3,36.3,21.7,4.3,0.01,1.1,19,38.5,32.4
34,134,1997,groundwater,782141.2468,10761789.95,9931.003227,730,tuffsand,489,7.07,7.3,250.5,24.2,-2,1,13,15,0.2,0.23,7.8,29,10.2,85,86,38.8,24.6,0,1.4,54,38.5,32.4
35,135,1997,groundwater,782032.4349,10761457.4,10039.81507,780,tuffsand,411,6.77,8,334.6,24.6,29,1,12,9.9,0.2,0.22,9.1,24,13.4,89,0,32,20,0,4.8,26,38.5,32.4
36,136,1997,groundwater,781713.6432,10759021.26,10358.60679,780,clay,489,6.38,5,425.78,23.5,40,1,8,7.5,0.13,0.22,2.6,13,12.3,13.4,19,27.8,27.4,0.02,0.7,36,38.5,32.4
