,PC1,PC2
0,-838.9515915119364,-121.56168312400244
1,-846.6641657201886,-129.33447219766242
2,-593.6331842329488,-136.57095908000392
3,-581.4796356012704,-130.54861294677295
4,-536.6085993323262,-145.80934997617263
5,-518.1347706260502,-144.51284493938925
6,-452.20397180429774,-102.26958349566956
7,-426.8504499078908,-100.39290960729578
8,-266.90230178832286,5.76489591704669
9,-170.00343268177747,81.50851030109487
10,-171.32418530446975,238.85561470424722
11,-148.4153449765272,250.83480642813512
12,-138.09920815294268,276.80330937580777
13,-122.3484312971364,264.4031462958774
14,-163.2546332582366,238.95478500548654
15,1145.961352098315,-89.91948845228453
16,1124.6257351785366,-94.77162108147722
17,1195.7780319886047,-78.04764540627626
18,1256.6421009296869,-45.498225097908986
19,1251.8666860011788,-37.88767262277928
